来源,区,校名(zip)
排行榜,浦东新区,上海交通大学附属浦东实验中学
排行榜,浦东新区,上海市浦东新区建平临港中学
排行榜,浦东新区,上海市浦东新区建平培德实验中学
排行榜,浦东新区,上海师范大学附属浦东临港中学
排行榜,浦东新区,上海市浦东新区进才森兰实验中学
排行榜,浦东新区,上海市浦东新区建平康梧中学
排行榜,浦东新区,上海立信会计金融学院附属高行中学
排行榜,浦东新区,上海戏剧学院附属浦东实验中学
排行榜,浦东新区,上海中医药大学附属浦东鹤沙学校
排行榜,浦东新区,上海市浦东新区进才万祥学校
排行榜,浦东新区,上海师范大学附属浦东秋萍学校
排行榜,浦东新区,上海市浦东新区进才书院学校
排行榜,浦东新区,上海浦东民办来科技学校
排行榜,徐汇区,上海市徐汇区上汇实验学校
排行榜,徐汇区,上海市徐汇区教育学院附属实验中学南部分校
排行榜,静安区,上海市市西初级中学
排行榜,普陀区,上海市普陀区梅陇实验中学
排行榜,虹口区,上海音乐学院虹口区实验中学
排行榜,虹口区,上海民办克勒外国语学校
排行榜,虹口区,同济大学附属澄衷中学
排行榜,虹口区,上海师范大学附属虹口中学
排行榜,杨浦区,上海市三门中学（上海财大学附属初级中学）
排行榜,杨浦区,上海市市东实验学校（上海市市东中学）
排行榜,杨浦区,同济大学附属新江湾城实验学校
排行榜,闵行区,华东师范大学附属闵行永德学校
排行榜,闵行区,上海交通大学附属闵行马桥实验学校
排行榜,闵行区,上海市闵行区七宝文来学校
排行榜,闵行区,华东师范大学附属闵行虹桥学校
排行榜,闵行区,上海师范大学附属中学闵行实验学校
排行榜,宝山区,上海市宝山中学
排行榜,宝山区,上海市宝山实验学校分校
排行榜,宝山区,上海市宝山区顾村科技园学校
排行榜,宝山区,上海市宝山区南大实验学校
排行榜,宝山区,上海市吴淞中学附属宝山实验学校
排行榜,宝山区,上海市宝山华曜附属罗泾中学
排行榜,宝山区,上海市宝山实验学校高境分校
排行榜,宝山区,上海市宝山区淞谊实验学校
排行榜,宝山区,上海世外教育附属宝山美兰湖实验学校
排行榜,宝山区,上海市宝山区求真中学南校
排行榜,宝山区,上海金瑞学校
排行榜,嘉定区,上海嘉定区世外学校
排行榜,嘉定区,同济大学附属嘉定实验中学
排行榜,嘉定区,上海市民办嘉宜初级中学
排行榜,嘉定区,上海师范大学附属第五嘉定实验学校
排行榜,嘉定区,上海市嘉定区嘉一实验初级中学
排行榜,松江区,上海市松江区九亭第二中学（含领科校区）
排行榜,松江区,上海对外经贸大学附属松江实验学校花园分校
排行榜,松江区,上海市三新学校松江思贤分校
排行榜,松江区,上海外国语大学附属外国语学校松江云间中学
排行榜,松江区,上海师范大学松江科创实验学校
排行榜,松江区,上海市松江区科技学校
排行榜,松江区,上海市松江一中附属叶榭学校
排行榜,松江区,上海政法学院附属松江外国语学校
排行榜,松江区,上海市松江区第五中学
排行榜,松江区,上海市松江区洞泾外国语实验学校
排行榜,松江区,上海师范大学松江未来实验学校
排行榜,松江区,上海市松江二中附属浦南实验学校
排行榜,青浦区,上海青浦兰生学校
排行榜,青浦区,上海市青浦区教育学院附属中学
排行榜,青浦区,上海市青浦区思源中学
排行榜,青浦区,上海市青浦区第一中学尚美分校
排行榜,青浦区,上海师范大学附属青浦实验中学
排行榜,青浦区,上海师范大学附属青浦重固学校
排行榜,奉贤区,上海奉贤区世外学校
排行榜,奉贤区,上海理工大学附属奉贤学校
排行榜,奉贤区,上海师范大学附属奉贤实验中学
排行榜,奉贤区,上海市奉贤区蓝湾五四学校
排行榜,奉贤区,上海大学附属奉贤实验学校
排行榜,奉贤区,上海大学附属奉贤实验学校（原金汇学校）
排行榜,金山区,上海师范大学附属金山前京中学
排行榜,金山区,上海市民办永昌中学
排行榜,金山区,上海市金山区龙泉学校
排行榜,金山区,上海金山杭州湾双语学校
排行榜,崇明区,上海市向明初级中学附属崇明区江帆中学
